proCodeId,proId,proCode,codeDesc,associatedWithProCode,minQty,maxQty,minSize,maxSize,chargePerUnit,billWithIntEM,billWithFUEM,leftRightSepration,billAlone,printByRows,splitInMultipleVisits,effectiveSince,effectiveTill,deleted,created_by,update_by,created_date,update_date,created_ip,update_ip,addOn,proName
678,356,X9997,Patch or application test(s) F/U (80 number of tests),,80,80,0,0,1,0,0,0,0,0,0,1/1/2013,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Patch Test 80- Final Reading
679,357,96932,Reflectance Confocal Microscopy (Imaging),,1,1,0,0,1,1,1,0,0,0,0,1/1/2016,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Reflectance Confocal Microscopy (Imaging)
680,357,96935,Reflectance Confocal Microscopy (Imaging),96932,2,20,0,0,1,1,1,0,0,0,0,1/1/2016,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Reflectance Confocal Microscopy (Imaging)
681,358,96931,Reflectance Confocal Microscopy,,1,1,0,0,1,1,1,0,0,0,0,1/1/2016,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Reflectance Confocal Microscopy
682,358,96934,Reflectance Confocal Microscopy,96931,2,20,0,0,1,1,1,0,0,0,0,1/1/2016,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Reflectance Confocal Microscopy
683,358,96933,Reflectance Confocal Microscopy,,1,1,0,0,1,1,1,0,0,0,0,1/1/2016,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Reflectance Confocal Microscopy
684,358,96936,Reflectance Confocal Microscopy,96933,2,20,0,0,1,1,1,0,0,0,0,1/1/2016,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Reflectance Confocal Microscopy
685,359,CF200,Juvederm,,1,100,0,0,0,0,0,0,0,0,0,11/1/2015,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Juvederm
686,360,CF201,Belotero,,1,100,0,0,0,0,0,0,0,0,0,11/1/2015,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Belotero
687,361,CF202,Radiesse,,1,100,0,0,0,0,0,0,0,0,0,11/1/2015,12/31/2050,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,0,0,0,Radiesse
